日期,city,frequency
2017年05月,新北市,0.151785376
2017年05月,台北市,0.162255339
2017年05月,桃園市,0.086273916
2017年05月,台中市,0.127422218
2017年05月,台南市,0.075735181
2017年05月,高雄市,0.12361149
2017年05月,宜蘭縣,0.017092792
2017年05月,新竹縣,0.019641746
2017年05月,苗栗縣,0.017389976
2017年05月,彰化縣,0.046057408
2017年05月,南投縣,0.015859033
2017年05月,雲林縣,0.027228712
2017年05月,嘉義縣,0.018285695
2017年05月,屏東縣,0.037188829
2017年05月,台東縣,0.007758013
2017年05月,花蓮縣,0.01327718
2017年05月,基隆市,0.011754528
2017年05月,新竹市,0.023118868
2017年05月,嘉義市,0.011619666
2017年05月,澎湖縣,0.003693914
2017年05月,金門縣,0.002502352
2017年05月,連江縣,0.000447767
2017年05月,合計,1
2017年04月,新北市,0.151135354
2017年04月,台北市,0.157062704
2017年04月,桃園市,0.096841787
2017年04月,台中市,0.126382437
2017年04月,台南市,0.076955705
2017年04月,高雄市,0.11008138
2017年04月,宜蘭縣,0.017377233
2017年04月,新竹縣,0.022422482
2017年04月,苗栗縣,0.01707992
2017年04月,彰化縣,0.048757535
2017年04月,南投縣,0.01904563
2017年04月,雲林縣,0.027042819
2017年04月,嘉義縣,0.018036246
2017年04月,屏東縣,0.036025199
2017年04月,台東縣,0.008377281
2017年04月,花蓮縣,0.013910297
2017年04月,基隆市,0.013403003
2017年04月,新竹市,0.022870154
2017年04月,嘉義市,0.011364323
2017年04月,澎湖縣,0.00313653
2017年04月,金門縣,0.002204272
2017年04月,連江縣,0.00048771
2017年04月,合計,1
2017年03月,新北市,0.154028927
2017年03月,台北市,0.159866171
2017年03月,桃園市,0.08829532
2017年03月,台中市,0.126152085
2017年03月,台南市,0.074164928
2017年03月,高雄市,0.119666348
2017年03月,宜蘭縣,0.017817386
2017年03月,新竹縣,0.020418361
2017年03月,苗栗縣,0.018684504
2017年03月,彰化縣,0.047099131
2017年03月,南投縣,0.016560608
2017年03月,雲林縣,0.027217966
2017年03月,嘉義縣,0.018496672
2017年03月,屏東縣,0.036754265
2017年03月,台東縣,0.007906779
2017年03月,花蓮縣,0.013609704
2017年03月,基隆市,0.012179306
2017年03月,新竹市,0.02317099
2017年03月,嘉義市,0.011334632
2017年03月,澎湖縣,0.003529977
2017年03月,金門縣,0.002579735
2017年03月,連江縣,0.000466207
2017年03月,合計,1
2017年02月,新北市,0.154214203
2017年02月,台北市,0.153300579
2017年02月,桃園市,0.096657457
2017年02月,台中市,0.12559882
2017年02月,台南市,0.07698393
2017年02月,高雄市,0.109210273
2017年02月,宜蘭縣,0.017943364
2017年02月,新竹縣,0.0227846
2017年02月,苗栗縣,0.017137786
2017年02月,彰化縣,0.04917579
2017年02月,南投縣,0.019656123
2017年02月,雲林縣,0.026546449
2017年02月,嘉義縣,0.017990763
2017年02月,屏東縣,0.036812668
2017年02月,台東縣,0.008603777
2017年02月,花蓮縣,0.014217533
2017年02月,基隆市,0.013706651
2017年02月,新竹市,0.022179908
2017年02月,嘉義市,0.011434485
2017年02月,澎湖縣,0.003037472
2017年02月,金門縣,0.002177083
2017年02月,連江縣,0.000630288
2017年02月,合計,1
2017年01月,新北市,0.155317616
2017年01月,台北市,0.160230048
2017年01月,桃園市,0.086268562
2017年01月,台中市,0.128147275
2017年01月,台南市,0.074331489
2017年01月,高雄市,0.121826509
2017年01月,宜蘭縣,0.017579289
2017年01月,新竹縣,0.020076883
2017年01月,苗栗縣,0.018439079
2017年01月,彰化縣,0.046844818
2017年01月,南投縣,0.016583273
2017年01月,雲林縣,0.02575214
2017年01月,嘉義縣,0.017784755
2017年01月,屏東縣,0.037351241
2017年01月,台東縣,0.007807861
2017年01月,花蓮縣,0.013444576
2017年01月,基隆市,0.01198812
2017年01月,新竹市,0.022207412
2017年01月,嘉義市,0.011344282
2017年01月,澎湖縣,0.003507639
2017年01月,金門縣,0.002516381
2017年01月,連江縣,0.000650752
2017年01月,合計,1
