city,frequency
新北市,0.151135354
台北市,0.157062704
桃園市,0.096841787
台中市,0.126382437
台南市,0.076955705
高雄市,0.11008138
宜蘭縣,0.017377233
新竹縣,0.022422482
苗栗縣,0.01707992
彰化縣,0.048757535
南投縣,0.01904563
雲林縣,0.027042819
嘉義縣,0.018036246
台東縣,0.008377281
花蓮縣,0.013910297
基隆市,0.013403003
新竹市,0.022870154
嘉義市,0.011364323
澎湖縣,0.00313653
金門縣,0.002204272
連江縣,0.00048771
