city,frequency
新北市,0.169037787
台北市,0.166235048
桃園市,0.086684619
台中市,0.123990943
台南市,0.071342402
高雄市,0.117110224
宜蘭縣,0.018283557
新竹縣,0.020491034
苗栗縣,0.019137777
彰化縣,0.044876629
南投縣,0.013937493
雲林縣,0.02492636
嘉義縣,0.016668404
屏東縣,0.032496098
台東縣,0.00740019
花蓮縣,0.01311884
基隆市,0.012735326
新竹市,0.023686422
嘉義市,0.010990903
澎湖縣,0.003759186
金門縣,0.002625885
連江縣,0.000464873
